Número de Orden;Número de Mesa;Nombre del Plato; Costo Unitario ; Precio Unitario ;Cantidad Ordenada; Ganancia Bruta ;Ganancia Neta;Procentaje de ganancia;Tiempo de Preparación;Tiempo en formato;Observaciones;Estado de la Orden
94;12;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;54;0:54:00;Sin cebolla;
95;12;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;19;0:19:00;Sin cebolla;
95;12;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;22;0:22:00;Sin cebolla;
96;16;Plato_11;20,00 €;33,00 €;2;66,00 €;40,00 €;61%;47;0:47:00;Ninguna;
96;16;Plato_12;11,00 €;19,00 €;2;38,00 €;22,00 €;58%;10;0:10:00;Ninguna;
96;16;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;19;0:19:00;Sin cebolla;
97;14;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;17;0:17:00;Sin cebolla;
97;14;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;5;0:05:00;Ninguna;
97;14;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;57;0:57:00;Ninguna;
98;7;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;56;0:56:00;Sin cebolla;
98;7;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;33;0:33:00;Sin cebolla;
98;7;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;51;0:51:00;Sin cebolla;
99;2;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;27;0:27:00;Sin cebolla;
99;2;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;5;0:05:00;Sin cebolla;
99;2;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;9;0:09:00;Ninguna;
99;2;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;45;0:45:00;Ninguna;
100;18;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;48;0:48:00;Sin cebolla;
100;18;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;33;0:33:00;Ninguna;
100;18;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;22;0:22:00;Sin cebolla;
101;1;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;24;0:24:00;Sin cebolla;
101;1;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;41;0:41:00;Sin cebolla;
101;1;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;35;0:35:00;Sin cebolla;
101;1;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;34;0:34:00;Sin cebolla;
102;19;Plato_16;16,00 €;28,00 €;3;84,00 €;48,00 €;57%;17;0:17:00;Sin cebolla;
102;19;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;29;0:29:00;Ninguna;
103;13;Plato_13;13,00 €;21,00 €;1;21,00 €;13,00 €;62%;57;0:57:00;Sin cebolla;
103;13;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;9;0:09:00;Ninguna;
103;13;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;33;0:33:00;Sin cebolla;
104;14;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;43;0:43:00;Sin cebolla;
104;14;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;12;0:12:00;Ninguna;
105;14;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;9;0:09:00;Ninguna;
105;14;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;34;0:34:00;Ninguna;
106;15;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;29;0:29:00;Ninguna;
107;11;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;48;0:48:00;Ninguna;
107;11;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;51;0:51:00;Sin cebolla;
107;11;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;42;0:42:00;Sin cebolla;
108;3;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;23;0:23:00;Ninguna;
108;3;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;10;0:10:00;Sin cebolla;
108;3;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;26;0:26:00;Sin cebolla;
108;3;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;56;0:56:00;Ninguna;
109;10;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;54;0:54:00;Sin cebolla;
109;10;Plato_14;14,00 €;23,00 €;1;23,00 €;14,00 €;61%;26;0:26:00;Sin cebolla;
109;10;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;38;0:38:00;Ninguna;
110;5;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;38;0:38:00;Ninguna;
110;5;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;27;0:27:00;Ninguna;
110;5;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;56;0:56:00;Sin cebolla;
111;3;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;47;0:47:00;Sin cebolla;
111;3;Plato_5;13,00 €;22,00 €;3;66,00 €;39,00 €;59%;5;0:05:00;Ninguna;
111;3;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;48;0:48:00;Ninguna;
111;3;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;37;0:37:00;Sin cebolla;
112;6;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;16;0:16:00;Sin cebolla;
113;4;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;51;0:51:00;Ninguna;
114;7;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;36;0:36:00;Ninguna;
114;7;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;22;0:22:00;Ninguna;
114;7;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;31;0:31:00;Sin cebolla;
114;7;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;42;0:42:00;Sin cebolla;
115;12;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;23;0:23:00;Sin cebolla;
115;12;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;32;0:32:00;Sin cebolla;
115;12;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;43;0:43:00;Sin cebolla;
116;8;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;54;0:54:00;Sin cebolla;
116;8;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;21;0:21:00;Ninguna;
116;8;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;26;0:26:00;Sin cebolla;
116;8;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;28;0:28:00;Sin cebolla;
117;8;Plato_8;21,00 €;35,00 €;2;70,00 €;42,00 €;60%;8;0:08:00;Sin cebolla;
118;13;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;39;0:39:00;Ninguna;
118;13;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;22;0:22:00;Sin cebolla;
118;13;Plato_6;16,00 €;27,00 €;2;54,00 €;32,00 €;59%;52;0:52:00;Sin cebolla;
118;13;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;23;0:23:00;Sin cebolla;
119;17;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;7;0:07:00;Ninguna;
119;17;Plato_19;22,00 €;36,00 €;2;72,00 €;44,00 €;61%;13;0:13:00;Sin cebolla;
119;17;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;34;0:34:00;Sin cebolla;
120;4;Plato_17;19,00 €;31,00 €;3;93,00 €;57,00 €;61%;56;0:56:00;Sin cebolla;
120;4;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;41;0:41:00;Sin cebolla;
121;5;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;38;0:38:00;Ninguna;
122;6;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;32;0:32:00;Ninguna;
123;16;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;33;0:33:00;Sin cebolla;
124;16;Plato_3;12,00 €;20,00 €;2;40,00 €;24,00 €;60%;43;0:43:00;Ninguna;
124;16;Plato_1;15,00 €;25,00 €;1;25,00 €;15,00 €;60%;27;0:27:00;Sin cebolla;
124;16;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;9;0:09:00;Sin cebolla;
124;16;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;59;0:59:00;Sin cebolla;
125;14;Plato_16;16,00 €;28,00 €;2;56,00 €;32,00 €;57%;38;0:38:00;Sin cebolla;
125;14;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;15;0:15:00;Ninguna;
125;14;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;31;0:31:00;Ninguna;
126;18;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;19;0:19:00;Sin cebolla;
126;18;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;40;0:40:00;Sin cebolla;
126;18;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;27;0:27:00;Ninguna;
126;18;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;53;0:53:00;Ninguna;
127;6;Plato_19;22,00 €;36,00 €;2;72,00 €;44,00 €;61%;30;0:30:00;Sin cebolla;
128;2;Plato_1;15,00 €;25,00 €;3;75,00 €;45,00 €;60%;53;0:53:00;Ninguna;
128;2;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;50;0:50:00;Sin cebolla;
128;2;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;35;0:35:00;Sin cebolla;
128;2;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;34;0:34:00;Sin cebolla;
129;16;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;6;0:06:00;Sin cebolla;
129;16;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;24;0:24:00;Ninguna;
129;16;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;50;0:50:00;Ninguna;
130;10;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;25;0:25:00;Sin cebolla;
131;7;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;43;0:43:00;Sin cebolla;
131;7;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;20;0:20:00;Ninguna;
131;7;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;57;0:57:00;Sin cebolla;
132;9;Plato_14;14,00 €;23,00 €;1;23,00 €;14,00 €;61%;6;0:06:00;Sin cebolla;
132;9;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;18;0:18:00;Ninguna;
132;9;Plato_13;13,00 €;21,00 €;2;42,00 €;26,00 €;62%;53;0:53:00;Ninguna;
132;9;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;25;0:25:00;Sin cebolla;
133;20;Plato_15;19,00 €;32,00 €;1;32,00 €;19,00 €;59%;5;0:05:00;Ninguna;
133;20;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;45;0:45:00;Sin cebolla;
133;20;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;46;0:46:00;Ninguna;
133;20;Plato_4;10,00 €;18,00 €;3;54,00 €;30,00 €;56%;11;0:11:00;Ninguna;
134;3;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;19;0:19:00;Ninguna;
134;3;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;29;0:29:00;Ninguna;
135;11;Plato_17;19,00 €;31,00 €;3;93,00 €;57,00 €;61%;17;0:17:00;Ninguna;
135;11;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;42;0:42:00;Ninguna;
135;11;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;29;0:29:00;Sin cebolla;
136;6;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;13;0:13:00;Sin cebolla;
137;13;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;41;0:41:00;Sin cebolla;
138;6;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;40;0:40:00;Ninguna;
138;6;Plato_12;11,00 €;19,00 €;2;38,00 €;22,00 €;58%;6;0:06:00;Ninguna;
138;6;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;7;0:07:00;Sin cebolla;
138;6;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;44;0:44:00;Sin cebolla;
139;16;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;26;0:26:00;Ninguna;
140;11;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;35;0:35:00;Ninguna;
140;11;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;35;0:35:00;Sin cebolla;
140;11;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;48;0:48:00;Sin cebolla;
141;4;Plato_13;13,00 €;21,00 €;1;21,00 €;13,00 €;62%;28;0:28:00;Sin cebolla;
142;14;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;37;0:37:00;Ninguna;
142;14;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;11;0:11:00;Sin cebolla;
142;14;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;22;0:22:00;Ninguna;
143;9;Plato_1;15,00 €;25,00 €;2;50,00 €;30,00 €;60%;16;0:16:00;Sin cebolla;
144;18;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;27;0:27:00;Sin cebolla;
144;18;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;51;0:51:00;Ninguna;
144;18;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;38;0:38:00;Ninguna;
144;18;Plato_18;20,00 €;34,00 €;1;34,00 €;20,00 €;59%;34;0:34:00;Sin cebolla;
145;2;Plato_5;13,00 €;22,00 €;3;66,00 €;39,00 €;59%;59;0:59:00;Ninguna;
145;2;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;47;0:47:00;Sin cebolla;
146;8;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;47;0:47:00;Sin cebolla;
147;5;Plato_20;25,00 €;40,00 €;1;40,00 €;25,00 €;63%;13;0:13:00;Sin cebolla;
147;5;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;20;0:20:00;Ninguna;
148;10;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;31;0:31:00;Ninguna;
148;10;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;57;0:57:00;Ninguna;
148;10;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;46;0:46:00;Ninguna;
148;10;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;25;0:25:00;Ninguna;
149;18;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;28;0:28:00;Sin cebolla;
149;18;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;38;0:38:00;Sin cebolla;
149;18;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;25;0:25:00;Ninguna;
149;18;Plato_9;17,00 €;29,00 €;2;58,00 €;34,00 €;59%;48;0:48:00;Sin cebolla;
150;18;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;19;0:19:00;Ninguna;
150;18;Plato_11;20,00 €;33,00 €;2;66,00 €;40,00 €;61%;57;0:57:00;Sin cebolla;
150;18;Plato_3;12,00 €;20,00 €;2;40,00 €;24,00 €;60%;30;0:30:00;Sin cebolla;
151;6;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;13;0:13:00;Ninguna;
151;6;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;6;0:06:00;Ninguna;
152;5;Plato_16;16,00 €;28,00 €;2;56,00 €;32,00 €;57%;12;0:12:00;Ninguna;
153;10;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;10;0:10:00;Sin cebolla;
153;10;Plato_7;14,00 €;24,00 €;1;24,00 €;14,00 €;58%;53;0:53:00;Sin cebolla;
153;10;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;26;0:26:00;Ninguna;
154;11;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;52;0:52:00;Ninguna;
154;11;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;30;0:30:00;Ninguna;
155;7;Plato_6;16,00 €;27,00 €;2;54,00 €;32,00 €;59%;24;0:24:00;Sin cebolla;
155;7;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;43;0:43:00;Ninguna;
155;7;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;33;0:33:00;Sin cebolla;
156;6;Plato_16;16,00 €;28,00 €;2;56,00 €;32,00 €;57%;6;0:06:00;Ninguna;
157;13;Plato_1;15,00 €;25,00 €;3;75,00 €;45,00 €;60%;48;0:48:00;Sin cebolla;
157;13;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;54;0:54:00;Sin cebolla;
157;13;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;27;0:27:00;Ninguna;
157;13;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;21;0:21:00;Ninguna;
158;5;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;57;0:57:00;Ninguna;
158;5;Plato_10;15,00 €;26,00 €;3;78,00 €;45,00 €;58%;55;0:55:00;Ninguna;
158;5;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;7;0:07:00;Ninguna;
158;5;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;16;0:16:00;Sin cebolla;
159;16;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;23;0:23:00;Sin cebolla;
159;16;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;5;0:05:00;Ninguna;
159;16;Plato_4;10,00 €;18,00 €;2;36,00 €;20,00 €;56%;6;0:06:00;Ninguna;
159;16;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;40;0:40:00;Ninguna;
160;19;Plato_19;22,00 €;36,00 €;3;108,00 €;66,00 €;61%;20;0:20:00;Ninguna;
160;19;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;47;0:47:00;Ninguna;
161;13;Plato_16;16,00 €;28,00 €;3;84,00 €;48,00 €;57%;57;0:57:00;Ninguna;
162;14;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;25;0:25:00;Ninguna;
163;6;Plato_17;19,00 €;31,00 €;3;93,00 €;57,00 €;61%;8;0:08:00;Sin cebolla;
163;6;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;16;0:16:00;Sin cebolla;
163;6;Plato_11;20,00 €;33,00 €;2;66,00 €;40,00 €;61%;40;0:40:00;Sin cebolla;
163;6;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;7;0:07:00;Ninguna;
164;8;Plato_5;13,00 €;22,00 €;1;22,00 €;13,00 €;59%;43;0:43:00;Sin cebolla;
164;8;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;7;0:07:00;Ninguna;
164;8;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;20;0:20:00;Ninguna;
164;8;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;35;0:35:00;Ninguna;
165;10;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;15;0:15:00;Sin cebolla;
165;10;Plato_13;13,00 €;21,00 €;2;42,00 €;26,00 €;62%;41;0:41:00;Ninguna;
166;12;Plato_14;14,00 €;23,00 €;2;46,00 €;28,00 €;61%;22;0:22:00;Sin cebolla;
167;5;Plato_12;11,00 €;19,00 €;1;19,00 €;11,00 €;58%;29;0:29:00;Ninguna;
167;5;Plato_18;20,00 €;34,00 €;3;102,00 €;60,00 €;59%;11;0:11:00;Ninguna;
167;5;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;36;0:36:00;Sin cebolla;
168;17;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;7;0:07:00;Sin cebolla;
169;19;Plato_13;13,00 €;21,00 €;2;42,00 €;26,00 €;62%;44;0:44:00;Sin cebolla;
169;19;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;59;0:59:00;Sin cebolla;
169;19;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;7;0:07:00;Ninguna;
170;12;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;16;0:16:00;Ninguna;
170;12;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;16;0:16:00;Ninguna;
170;12;Plato_19;22,00 €;36,00 €;1;36,00 €;22,00 €;61%;33;0:33:00;Sin cebolla;
170;12;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;8;0:08:00;Sin cebolla;
171;16;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;29;0:29:00;Ninguna;
171;16;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;22;0:22:00;Sin cebolla;
172;12;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;27;0:27:00;Sin cebolla;
173;11;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;15;0:15:00;Sin cebolla;
173;11;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;52;0:52:00;Sin cebolla;
174;10;Plato_2;18,00 €;30,00 €;2;60,00 €;36,00 €;60%;12;0:12:00;Sin cebolla;
175;14;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;9;0:09:00;Sin cebolla;
175;14;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;38;0:38:00;Ninguna;
176;20;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;48;0:48:00;Sin cebolla;
177;4;Plato_7;14,00 €;24,00 €;2;48,00 €;28,00 €;58%;10;0:10:00;Sin cebolla;
177;4;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;40;0:40:00;Ninguna;
177;4;Plato_13;13,00 €;21,00 €;2;42,00 €;26,00 €;62%;45;0:45:00;Sin cebolla;
177;4;Plato_12;11,00 €;19,00 €;3;57,00 €;33,00 €;58%;47;0:47:00;Ninguna;
178;11;Plato_2;18,00 €;30,00 €;1;30,00 €;18,00 €;60%;55;0:55:00;Sin cebolla;
178;11;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;16;0:16:00;Sin cebolla;
178;11;Plato_5;13,00 €;22,00 €;2;44,00 €;26,00 €;59%;20;0:20:00;Ninguna;
178;11;Plato_11;20,00 €;33,00 €;3;99,00 €;60,00 €;61%;55;0:55:00;Ninguna;
179;12;Plato_17;19,00 €;31,00 €;2;62,00 €;38,00 €;61%;26;0:26:00;Ninguna;
180;10;Plato_9;17,00 €;29,00 €;1;29,00 €;17,00 €;59%;35;0:35:00;Sin cebolla;
180;10;Plato_2;18,00 €;30,00 €;3;90,00 €;54,00 €;60%;20;0:20:00;Sin cebolla;
180;10;Plato_3;12,00 €;20,00 €;1;20,00 €;12,00 €;60%;50;0:50:00;Ninguna;
180;10;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;56;0:56:00;Ninguna;
181;15;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;55;0:55:00;Sin cebolla;
182;18;Plato_12;11,00 €;19,00 €;2;38,00 €;22,00 €;58%;11;0:11:00;Sin cebolla;
183;18;Plato_15;19,00 €;32,00 €;2;64,00 €;38,00 €;59%;52;0:52:00;Ninguna;
183;18;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;10;0:10:00;Ninguna;
183;18;Plato_3;12,00 €;20,00 €;3;60,00 €;36,00 €;60%;58;0:58:00;Ninguna;
183;18;Plato_8;21,00 €;35,00 €;3;105,00 €;63,00 €;60%;46;0:46:00;Ninguna;
184;4;Plato_16;16,00 €;28,00 €;3;84,00 €;48,00 €;57%;6;0:06:00;Sin cebolla;
184;4;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;10;0:10:00;Ninguna;
184;4;Plato_3;12,00 €;20,00 €;2;40,00 €;24,00 €;60%;13;0:13:00;Sin cebolla;
185;16;Plato_13;13,00 €;21,00 €;3;63,00 €;39,00 €;62%;34;0:34:00;Ninguna;
185;16;Plato_16;16,00 €;28,00 €;1;28,00 €;16,00 €;57%;6;0:06:00;Sin cebolla;
186;13;Plato_6;16,00 €;27,00 €;3;81,00 €;48,00 €;59%;16;0:16:00;Ninguna;
186;13;Plato_15;19,00 €;32,00 €;3;96,00 €;57,00 €;59%;23;0:23:00;Sin cebolla;
186;13;Plato_17;19,00 €;31,00 €;3;93,00 €;57,00 €;61%;54;0:54:00;Ninguna;
187;5;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;28;0:28:00;Sin cebolla;
187;5;Plato_10;15,00 €;26,00 €;1;26,00 €;15,00 €;58%;51;0:51:00;Ninguna;
187;5;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;11;0:11:00;Ninguna;
187;5;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;36;0:36:00;Sin cebolla;
188;20;Plato_17;19,00 €;31,00 €;1;31,00 €;19,00 €;61%;58;0:58:00;Ninguna;
188;20;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;47;0:47:00;Ninguna;
189;11;Plato_18;20,00 €;34,00 €;2;68,00 €;40,00 €;59%;42;0:42:00;Sin cebolla;
189;11;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;22;0:22:00;Sin cebolla;
189;11;Plato_7;14,00 €;24,00 €;3;72,00 €;42,00 €;58%;53;0:53:00;Sin cebolla;
190;5;Plato_4;10,00 €;18,00 €;1;18,00 €;10,00 €;56%;39;0:39:00;Ninguna;
190;5;Plato_20;25,00 €;40,00 €;2;80,00 €;50,00 €;63%;45;0:45:00;Ninguna;
190;5;Plato_8;21,00 €;35,00 €;1;35,00 €;21,00 €;60%;11;0:11:00;Sin cebolla;
190;5;Plato_14;14,00 €;23,00 €;3;69,00 €;42,00 €;61%;7;0:07:00;Sin cebolla;
191;12;Plato_1;15,00 €;25,00 €;3;75,00 €;45,00 €;60%;32;0:32:00;Sin cebolla;
191;12;Plato_9;17,00 €;29,00 €;3;87,00 €;51,00 €;59%;55;0:55:00;Ninguna;
192;17;Plato_1;15,00 €;25,00 €;3;75,00 €;45,00 €;60%;26;0:26:00;Ninguna;
193;3;Plato_10;15,00 €;26,00 €;2;52,00 €;30,00 €;58%;57;0:57:00;Sin cebolla;
193;3;Plato_19;22,00 €;36,00 €;2;72,00 €;44,00 €;61%;59;0:59:00;Ninguna;
193;3;Plato_6;16,00 €;27,00 €;1;27,00 €;16,00 €;59%;31;0:31:00;Sin cebolla;
